Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,27.807822227478027,14.230104446411133
Sibilant Plural,blazes,protector,29.431446075439453,15.460548400878906
Regular Singular,spark,protector,23.18390941619873,14.314048767089844
Regular Plural,sparks,protector,27.056982040405273,15.097660064697266
Sibilant Singular,breeze,protector,35.8146333694458,16.492265701293945
Sibilant Plural,breezes,protector,38.36430644989014,15.991491317749023
Regular Singular,storm,protector,15.510477066040039,13.257946014404297
Regular Plural,storms,protector,16.6042423248291,13.911419868469238
Sibilant Singular,tax,receivers,20.42629051208496,14.454009294509888
Sibilant Plural,taxes,receivers,24.78605556488037,18.16861653327942
Regular Singular,toll,receivers,22.987897872924805,16.915159463882446
Regular Plural,tolls,receivers,27.537473678588867,15.057490348815918
Sibilant Singular,sex,disparities,10.90302848815918,24.384952545166016
Sibilant Plural,sexes,disparities,22.673157691955566,28.084404945373535
Regular Singular,gender,disparities,13.497587203979492,20.16190195083618
Regular Plural,genders,disparities,21.523661613464355,24.389448165893555
Sibilant Singular,vase,maker,22.934956550598145,13.615997314453125
Sibilant Plural,vases,maker,24.502052307128906,15.345191955566406
Regular Singular,pot,maker,17.006248474121094,12.690500259399414
Regular Plural,pots,maker,28.418862342834473,14.671870231628418
Sibilant Singular,hoax,victims,22.741578102111816,14.25896167755127
Sibilant Plural,hoaxes,victims,27.65448808670044,15.922233581542969
Regular Singular,joke,victims,21.36792278289795,13.488126754760742
Regular Plural,jokes,victims,19.29581069946289,15.940152168273926
Sibilant Singular,phase,classifier,24.518943786621094,20.68814182281494
Sibilant Plural,phases,classifier,31.85027503967285,21.81862449645996
Regular Singular,step,classifier,15.549439430236816,26.546666145324707
Regular Plural,steps,classifier,22.065730094909668,18.84995746612549
Sibilant Singular,hose,installer,21.238689422607422,29.015316009521484
Sibilant Plural,hoses,installer,23.947802543640137,28.302932739257812
Regular Singular,pipe,installer,15.3951416015625,21.370102882385254
Regular Plural,pipes,installer,28.836520195007324,25.401728630065918
